id,name,artists,href,z,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,centroid,mean,var,skewness,kurtosis,RMS,max_amplitude,zcr,spectral_centroid,spectral_slope,spectral_flatness
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,6,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4,181848.30104371283,0.21989963098817453,5328.138886650106,-3.405611259821477e-07,-2.999999869357479,72.99443295551939,128.0,0.4792427403330752,10960.723280958982,-0.013250933501420236,0.8421143478518995
1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,https://api.spotify.com/v1/tracks/1Cv1YLb4q0RzL6pybtaMLo,28,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,158571,4,181527.20990081487,0.8645404163026613,5259.402318670462,-4.486579911323543e-07,-2.9999998638749243,72.52688983268125,128.0,0.4723599394809583,10869.689004866297,-0.0391252852614054,0.8426906511211658
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone & Swae Lee,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY,37,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560,4,181957.65197506303,0.8569204185624798,5255.8314660277365,-4.245514314676214e-07,-2.9999998633932385,72.50217775095784,128.0,0.47137057991903236,10871.093107547254,-0.04246024930563578,0.8422562777777136
4NCsrTzgVfsDo8nWyP8PPc,RITMO (Bad Boys For Life),Black Eyed Peas & J Balvin,https://api.spotify.com/v1/tracks/4NCsrTzgVfsDo8nWyP8PPc,41,0.723,0.704,10,-7.088,0,0.0571,0.0259,0.00109,0.792,0.684,105.095,214935,4,181873.54227353705,0.790184120090062,5258.280151015951,-3.9477850760047174e-07,-2.9999998637150442,72.51830487511131,128.0,0.4730861128641546,10885.913173624198,-0.0357042758433984,0.8426693808853057
7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G & Nicki Minaj,https://api.spotify.com/v1/tracks/7k4t7uLgtOxPwTpFmtJNTY,10,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4,181866.77018425034,0.5731175298530291,5252.663712364394,-4.121556917267905e-07,-2.9999998631850238,72.47752876628327,128.0,0.4726548182361841,10898.417569718224,-0.0330866624658805,0.8439204589460861
2DEZmgHKAvm41k4J3R2E9Y,Safaera,Bad Bunny & Jowell & Randy & Ñengo Flow,https://api.spotify.com/v1/tracks/2DEZmgHKAvm41k4J3R2E9Y,43,0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,295177,4,182139.96972514605,0.6940729370199608,5257.65449123126,-3.8831894538669093e-07,-2.999999863472109,72.51300730540116,128.0,0.4740134652111966,10924.765554110882,-0.018223371511982996,0.8416536884911474
0t1kP63rueHleOhQkYSXFY,Dynamite,BTS,https://api.spotify.com/v1/tracks/0t1kP63rueHleOhQkYSXFY,32,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054,4,181487.8561240139,0.962095678510504,5309.446263621503,-3.980473232257235e-07,-2.9999998675627033,72.87229852087906,128.0,0.4757124628990164,10887.499108872245,-0.03890807002303519,0.842345879406594
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),DaBaby & Roddy Ricch,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,5,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733,4,181917.69058369967,0.5797068298880288,5284.248745192271,-3.9027377550883265e-07,-2.9999998657225775,72.69514980520289,128.0,0.47387704933845193,10877.337786710996,-0.036424383026157824,0.8421502207691497
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,12,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4,181450.92052247492,0.6347775043336153,5318.642846403339,-4.2245265267245095e-07,-2.9999998686179463,72.93178860334734,128.0,0.4762691498948633,10910.487736676207,-0.03190040517360903,0.8434059453052379
1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,https://api.spotify.com/v1/tracks/1rgnBhdG2JDFTbYkYRZAku,1,0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755,4,182918.73002002,0.657294207925013,5270.674751495246,-4.192532875522427e-07,-2.9999998651616813,72.60238830211453,128.0,0.4740018097655831,10881.285172043497,-0.04229309234326009,0.8416900341648352
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,0,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,182758.4656376184,0.8316033911812798,5300.365286178329,-4.488581643550064e-07,-2.9999998674008377,72.80835700919609,128.0,0.47562416697583026,10902.14318675694,-0.03443174905134875,0.841491622037941
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish & Khalid,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,44,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4,181596.94838188952,0.7330410267292434,5273.073532154788,-4.205087879194332e-07,-2.9999998655793507,72.61963151449928,128.0,0.47670733421337647,10921.353544607025,-0.02153763490324204,0.842281714877123
3GZoWLVbmxcBys6g0DLFLf,Supalonely (feat. Gus Dapperton),BENEE & Gus Dapperton,https://api.spotify.com/v1/tracks/3GZoWLVbmxcBys6g0DLFLf,33,0.862,0.631,7,-4.746,1,0.0515,0.291,0.000209,0.123,0.841,128.978,223488,4,181837.99278647188,0.7083015259286614,5270.081107871372,-3.51226250359518e-07,-2.999999864377217,72.59877959665027,128.0,0.4716323881596534,10886.742253395643,-0.02875306115958663,0.8429946680550191
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),JP Saxe & Julia Michaels,https://api.spotify.com/v1/tracks/2kJwzbxV2ppxnQoYw4GLBZ,47,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,208687,4,181883.04189574448,0.9410655870980899,5289.331679865238,-4.9724487416893e-07,-2.9999998664658403,72.73387989310386,128.0,0.47741146058683626,10935.38052466252,-0.019985311204049918,0.8418673734244534
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM,18,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4,181941.60092549954,0.5188736182725616,5279.607866356609,-3.994277142145251e-07,-2.9999998659315636,72.66276278939817,128.0,0.47489672353876555,10890.579324370923,-0.03389581006946517,0.8418254921455546
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,31,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,221820,4,182974.76814278995,0.6054124632342835,5270.28591534363,-3.8192329378721427e-07,-2.9999998647004618,72.59925922207658,128.0,0.47423513565518566,10912.649263026473,-0.03205384571583898,0.8426878387425012
